feature,spearman_rho,absolute_rho,exact_p_value,bh_q_value,loo_direction_stability
deprel_amod_ratio,-0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,0.875
deprel_cc_ratio,0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,1.0
deprel_flat_ratio,-0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,0.875
deprel_nmod_ratio,-0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,0.875
deprel_nsubj_ratio,-0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,1.0
surface_colon_density,0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,0.75
surface_mean_sentence_cjk_chars,0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,1.0
syntax_dependency_relation_entropy_bits,0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,1.0
syntax_lexical_hapax_ratio,0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,0.75
syntax_mean_lexical_token_cjk_chars,-0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,1.0
syntax_nominal_modifier_relation_ratio,-0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,0.875
syntax_pos_trigram_entropy_bits,0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,0.875
upos_aux_ratio,0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,0.75
upos_cconj_ratio,0.2817180849095055,0.2817180849095055,0.5714285714285714,0.9947575360419397,1.0
deprel_appos_ratio,0.24012009007506566,0.24012009007506566,0.6428571428571429,0.9947575360419397,1.0
hypothesis_emphatic_frames_per_1k_cjk,0.24012009007506566,0.24012009007506566,0.6428571428571429,0.9947575360419397,0.875
surface_paragraph_count,-0.22810637940488043,0.22810637940488043,0.7142857142857143,0.9947575360419397,0.75
syntax_dependency_distance_max,0.22672808050605428,0.22672808050605428,0.625,0.9947575360419397,1.0
graph_unsupported_explicit_edge_ratio,0.22131333406899525,0.22131333406899525,0.7321428571428571,0.9947575360419397,0.875
discourse_hedge_markers_per_10k_cjk,-0.18009006755629925,0.18009006755629925,0.75,0.9947575360419397,0.625
deprel_csubj_ratio,0.1732050807568877,0.1732050807568877,0.7857142857142857,0.9947575360419397,0.75
syntax_max_nonleaf_branching,-0.17107978455366032,0.17107978455366032,0.7142857142857143,0.9947575360419397,0.625
graph_semantic_components_per_sentence,0.17107978455366032,0.17107978455366032,0.75,0.9947575360419397,0.75
deprel_advcl_ratio,-0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
deprel_conj_ratio,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.75
deprel_det_ratio,-0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
deprel_parataxis_ratio,-0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
deprel_punct_ratio,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.75
graph_argumentless_proposition_ratio,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.75
graph_propositions_per_100_cjk,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
graph_unique_proposition_ratio,-0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.75
graph_zero_adjacent_bridge_ratio,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.75
surface_adjacent_sentence_length_change,-0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
surface_char_count,-0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
surface_non_whitespace_char_count,-0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
surface_paragraph_length_cv,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.75
surface_punctuation_entropy_bits,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
surface_quote_mark_density,-0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.75
surface_repeated_char_ngram_ratio,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
surface_sentence_length_autocorrelation,-0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
syntax_crossing_arc_ratio_mean,-0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
syntax_dependency_distance_cv,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
syntax_function_word_ratio,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
syntax_lexical_token_count,-0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
syntax_lexical_type_token_ratio,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.75
syntax_token_count,-0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
upos_punct_ratio,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.75
upos_verb_ratio,0.1690308509457033,0.1690308509457033,0.7857142857142857,0.9947575360419397,0.625
graph_explicit_discourse_edge_count,-0.1301200097264711,0.1301200097264711,0.8214285714285714,1.0,0.5
deprel_discourse_ratio,0.12006004503753283,0.12006004503753283,0.8214285714285714,1.0,0.5
surface_digit_ratio,0.07377111135633176,0.07377111135633176,1.0,1.0,0.375
hypothesis_meta_frames_per_1k_cjk,0.06454972243679027,0.06454972243679027,1.0,1.0,0.5
graph_isolated_sentence_ratio,-0.060030022518766414,0.060030022518766414,0.9285714285714286,1.0,0.375
graph_largest_component_sentence_coverage,0.060030022518766414,0.060030022518766414,0.9285714285714286,1.0,0.375
upos_propn_ratio,0.05773502691896257,0.05773502691896257,1.0,1.0,0.375
deprel_acl_ratio,0.0563436169819011,0.0563436169819011,1.0,1.0,0.625
deprel_aux_ratio,0.0563436169819011,0.0563436169819011,1.0,1.0,0.375
deprel_case_ratio,-0.0563436169819011,0.0563436169819011,1.0,1.0,0.625
deprel_obj_ratio,-0.0563436169819011,0.0563436169819011,1.0,1.0,0.625
graph_mean_proposition_argument_count,-0.0563436169819011,0.0563436169819011,1.0,1.0,0.375
graph_surface_chars_per_unique_proposition,-0.0563436169819011,0.0563436169819011,1.0,1.0,0.625
surface_ascii_letter_ratio,-0.0563436169819011,0.0563436169819011,1.0,1.0,0.625
surface_cjk_char_count,-0.0563436169819011,0.0563436169819011,1.0,1.0,0.625
surface_cjk_char_entropy_bits,-0.0563436169819011,0.0563436169819011,1.0,1.0,0.625
surface_cjk_ratio,-0.0563436169819011,0.0563436169819011,1.0,1.0,0.375
surface_mean_paragraph_cjk_chars,-0.0563436169819011,0.0563436169819011,1.0,1.0,0.625
syntax_coordinate_relation_ratio,0.0563436169819011,0.0563436169819011,1.0,1.0,0.375
syntax_lexical_token_entropy_bits,0.0563436169819011,0.0563436169819011,1.0,1.0,0.375
syntax_token_length_cv,0.0563436169819011,0.0563436169819011,1.0,1.0,0.375
upos_adj_ratio,-0.0563436169819011,0.0563436169819011,1.0,1.0,0.375
upos_det_ratio,0.0563436169819011,0.0563436169819011,1.0,1.0,0.375
upos_x_ratio,-0.0563436169819011,0.0563436169819011,1.0,1.0,0.625
surface_mean_sentences_per_paragraph,0.0,0.0,1.0,1.0,0.0
