feature,spearman_rho,absolute_rho,exact_p_value,bh_q_value,loo_direction_stability
deprel_parataxis_ratio,0.3024291894545669,0.3024291894545669,0.4023809523809524,0.8677209192134565,1.0
upos_det_ratio,0.3024291894545669,0.3024291894545669,0.4023809523809524,0.8677209192134565,1.0
syntax_adjacent_content_jaccard_mean,-0.3015113445777636,0.3015113445777636,0.4126984126984127,0.8677209192134565,1.0
syntax_lexical_hapax_ratio,0.3015113445777636,0.3015113445777636,0.4126984126984127,0.8677209192134565,0.9
syntax_lexical_token_count,-0.3015113445777636,0.3015113445777636,0.4126984126984127,0.8677209192134565,0.9
syntax_token_count,-0.3015113445777636,0.3015113445777636,0.4126984126984127,0.8677209192134565,0.9
upos_adj_ratio,0.3015113445777636,0.3015113445777636,0.4126984126984127,0.8677209192134565,0.9
deprel_discourse_ratio,0.3001915097545826,0.3001915097545826,0.4246031746031746,0.867938842203548,1.0
graph_mainline_detour_ratio,0.2959800105863007,0.2959800105863007,0.41825396825396827,0.8677209192134565,1.0
surface_sentence_length_autocorrelation,-0.28141058827257937,0.28141058827257937,0.4396825396825397,0.8857372900851161,1.0
surface_punctuation_density,0.2613098319673951,0.2613098319673951,0.47619047619047616,0.932260228034876,1.0
syntax_function_word_ratio,0.2613098319673951,0.2613098319673951,0.47619047619047616,0.932260228034876,1.0
deprel_det_ratio,0.24194335156365357,0.24194335156365357,0.5063492063492063,0.93411667697382,0.9
deprel_obl_ratio,0.2412090756622109,0.2412090756622109,0.5174603174603175,0.93411667697382,1.0
graph_mean_adjacent_bridge_weight,-0.2412090756622109,0.2412090756622109,0.5174603174603175,0.93411667697382,1.0
surface_cjk_char_count,-0.2412090756622109,0.2412090756622109,0.5174603174603175,0.93411667697382,0.9
syntax_adjacent_noun_jaccard_mean,-0.2412090756622109,0.2412090756622109,0.5174603174603175,0.93411667697382,1.0
syntax_lexical_type_token_ratio,0.2412090756622109,0.2412090756622109,0.5174603174603175,0.93411667697382,0.9
graph_unsupported_explicit_edge_ratio,-0.2360293976249778,0.2360293976249778,0.5777777777777777,0.967201919527501,0.9
hypothesis_emphatic_frames_per_1k_cjk,0.22645540682891915,0.22645540682891915,0.5349206349206349,0.9532560032560031,1.0
syntax_sentence_length_cv,-0.22110831935702663,0.22110831935702663,0.5492063492063493,0.9542460317460317,1.0
