feature,combined_partial_spearman,infoq_partial_spearman,jiqizhixin_partial_spearman,source_direction_consistent,combined_feature_length_spearman,loo_direction_stability,permutation_p_value,bh_q_value,ranking_score
surface_punctuation_density,0.088007985406486,-0.08542749330194471,0.22871978888691089,False,-0.17530033185930563,1.0,0.3957208558288342,0.6698483832645236,0.0
surface_mean_paragraph_cjk_chars,-0.0814439654563108,0.13826268433966032,-0.25969653038511753,False,0.12795845421796967,1.0,0.4283143371325735,0.6698483832645236,0.0
surface_mean_sentences_per_paragraph,-0.08277523399953579,0.12924988507954888,-0.2547956136297365,False,0.19011317242526216,1.0,0.4297140571885623,0.6698483832645236,0.0
surface_short_paragraph_ratio,0.06624560039015477,-0.06869154403314919,0.175722906243024,False,0.19622223692239557,1.0,0.5340931813637273,0.786303850341043,0.0
surface_exact_paragraph_repeat_ratio,0.05897971020889611,-0.2056198419413096,0.2736548185571762,False,0.2235036270457137,1.0,0.5902819436112777,0.8232879739841504,0.0
hypothesis_complete_contrast_frames_per_1k_sentences,0.05028523647408775,0.13142848518803674,-0.015547965312701051,False,0.32668887363197485,0.9895833333333334,0.6256748650269947,0.8337882423515296,0.0
title_body_cjk_type_overlap,-0.04211344156392975,-0.12901443584580358,0.028391138702496186,False,0.2440800031969299,1.0,0.6950609878024395,0.8719575233889393,0.0
surface_semicolon_density,0.03898172535134563,-0.028082167427191,0.09339205345468665,False,0.18117852690449715,1.0,0.7070585882823436,0.8719575233889393,0.0
surface_parenthesis_density,-0.03575419896340324,-0.08204296006210092,0.0018008336261062029,False,0.05372882536253247,1.0,0.7286542691461708,0.8719575233889393,0.0
surface_sentence_length_cv,-0.032757117173538984,-0.07711120159318025,0.0032282720725850577,False,0.00017270815454678567,1.0,0.74625074985003,0.8719575233889393,0.0
discourse_framing_markers_per_10k_cjk,0.02958048730456658,-0.049850785549711625,0.09402472754483003,False,0.15686152268714604,0.9791666666666666,0.7732453509298141,0.8719575233889393,0.0
surface_paragraph_opening_repeat_ratio,-0.024446552653503543,-0.11883216655812648,0.05213045485402073,False,0.17065110380036358,0.9791666666666666,0.8192361527694461,0.9045732520162634,0.0
surface_sentence_opening_repeat_ratio,-0.01805941595320492,0.08670229470390173,-0.10305476610897069,False,0.4009703001847171,0.9583333333333334,0.862627474505099,0.933046043852454,0.0
surface_sentence_length_autocorrelation,0.010841908269057891,-0.12506761328526472,0.12110812386973471,False,0.18090670452767166,0.8541666666666666,0.9132173565286943,0.9497331302970176,0.0
title_ascii_letter_ratio,0.009843199330986638,0.13230809638631919,-0.08951511337428315,False,-0.17526629963240192,0.8125,0.9198160367926415,0.9497331302970176,0.0
surface_period_density,-0.009624580923219035,0.02036831228470071,-0.0339584376768143,False,0.08931945821508258,0.8229166666666666,0.9318136372725455,0.9497331302970176,0.0
surface_mean_sentence_cjk_chars,-0.004039036276612194,0.050685315484755876,-0.04843803864904289,False,0.05978855248087821,0.6770833333333334,0.9704059188162367,0.9704059188162367,0.0
