feature_id,family,pattern,hedges_g,loo_stability,translation_removed_g,source_to_time_abs_g_ratio,pre_presence,post_presence,permutation_p_value,q_value,ranking_score
ceb3c7b143dc8b2d413852ee,pos_4gram,NOUN>AUX>X>NOUN,-0.8314662185366939,1.0,-0.801520679837532,0.33443221898709263,4,1,0.090381920337677,0.959922602972177,0.6230861385884571
4052fdd2342bca50c1b14025,dependency_path,nmod>appos,0.647028368115194,1.0,0.7017435555496857,0.04159519922835356,7,10,0.14957007765769958,0.959922602972177,0.6211898524441481
e633ad71b245b5ee2d92688a,dependency_treelet,VERB>nmod>DET,0.6349927903194252,1.0,0.5033078133567946,0.02484464655827594,1,4,0.14177164435386658,0.959922602972177,0.6195990704073191
20b16baf8bf8d3b103bd66d9,pos_3gram,NOUN>PART>PART,-0.8593241844365624,1.0,-0.8083865094834733,0.3871449664174655,8,7,0.06058788299560547,0.959922602972177,0.6194912610005796
db0afd7d58389a7a8ff36789,dependency_path,conj>aux,0.6703776083173347,1.0,0.7237103913260852,0.08386802642529594,4,7,0.09018196165561676,0.959922602972177,0.6185048289765558
07f578c9791176551397836d,pos_4gram,ADP>VERB>VERB>NOUN,-0.6822215749924944,1.0,-0.6436308203378153,0.10449172018750957,8,6,0.1243751272559166,0.959922602972177,0.6176792116437719
70ec7cb67674c8c1c832a016,dependency_treelet,PART>acl>NOUN,-0.7940571936556333,1.0,-0.7852772056545334,0.2858906248801058,6,3,0.033793240785598755,0.959922602972177,0.6175153456225484
0a911605a4abd0bf98dbfc44,pos_3gram,VERB>ADP>NOUN,-0.753619520227251,1.0,-0.7051104508995322,0.2213783861798897,9,9,0.09518096596002579,0.959922602972177,0.6170237894780093
1770cd38dcebfaaa72ecf98d,pos_4gram,PART>ADJ>VERB>PART,0.9069692654955714,1.0,1.0049834665647535,0.4722511144413386,0,4,0.09178164601325989,0.959922602972177,0.6160425056561976
35b71ab60a64e3385e904fc8,dependency_treelet,VERB>advmod>ADV,0.6679457021078142,1.0,0.5379922657749724,0.0861567388817641,10,10,0.13517296314239502,0.959922602972177,0.6149625355135092
077477ed9785db333fca3c4d,pos_4gram,X>NOUN>NOUN>VERB,-1.0898096225806244,1.0,-1.0149848883428971,0.7726164469177471,10,7,0.023795241490006447,0.959922602972177,0.6148028381862316
8887bda62bbf8dd984c2778f,function_word,却,0.9869733977794724,1.0,1.045734380408458,0.6161565658375375,0,6,0.005398920271545649,0.959922602972177,0.6106916982192224
5eaa7f16a0cf4a42bc10c3af,pos_3gram,PROPN>VERB>PART,-1.0421054885274947,1.0,-1.007483073550211,0.7084839423605971,6,4,0.031993601471185684,0.959922602972177,0.6099591940487464
73936e0c4180d51517d3b1b1,function_word,各个,-0.6899423552572661,1.0,-0.659852220813973,0.1346995249499397,3,1,0.2089582085609436,0.959922602972177,0.6080396969300792
472e4dbd63b8f612bf89f42c,pos_4gram,DET>NOUN>ADV>VERB,0.7014972496822781,1.0,0.7122658102568588,0.15526307938872905,2,5,0.11997600644826889,0.959922602972177,0.6072186172983673
379b1c780c85143cc2ac1555,dependency_path,parataxis>obl,-0.8351518024390534,1.0,-0.7703313154429325,0.37537449289210334,10,10,0.06358728557825089,0.959922602972177,0.607217748151572
d8d97fba0252a468348830ee,pos_3gram,AUX>DET>NOUN,0.8882626105556448,1.0,0.7595527280523978,0.4664021751421007,2,6,0.05018996074795723,0.959922602972177,0.6057428348192189
a40b2a4b3403dd7ee447506f,dependency_treelet,VERB>parataxis>VERB,-0.8383108563318565,1.0,-0.8164369741735356,0.3849442335993191,10,10,0.0655868798494339,0.959922602972177,0.6053029688806877
967d39d3246a172fac6ac473,pos_4gram,ADJ>NOUN>X>X,1.038795018994451,1.0,1.193226459582402,0.7224093964834144,1,6,0.026994600892066956,0.959922602972177,0.603105754715066
004e7841b01bea1143379571,pos_4gram,NOUN>VERB>PART>PART,-0.8794824950683592,1.0,-0.8824475250188027,0.458478650484558,4,2,0.09138172119855881,0.959922602972177,0.6030136229804695
dea3ad76a17d99b3b69b2247,pos_4gram,ADP>PRON>VERB>AUX,0.9556649945592804,1.0,0.8308490917302326,0.5854879475874118,0,4,0.08298340439796448,0.959922602972177,0.6027576532596709
d51706e9daf35d99865501f3,pos_4gram,X>ADV>VERB>NOUN,0.7569015891433688,1.0,0.880736674254612,0.26065906382741905,2,6,0.09298140555620193,0.959922602972177,0.6004014970117144
7a451c93f46f076d3c28c490,pos_4gram,SCONJ>NOUN>VERB>NUM,1.059670644936086,1.0,0.9677514799592211,0.7741923648534261,0,5,0.03299340233206749,0.959922602972177,0.5972693073919468
1f6685826ed5f57341dc19b2,dependency_treelet,ADJ>mark>ADP,-1.1211072949003544,1.0,-1.123459218342575,0.8775795723629782,5,2,0.028394320979714394,0.959922602972177,0.597102413875016
b24e1408e21def1c4e14628e,pos_4gram,VERB>PART>SCONJ>ADP,-0.9492238533442379,1.0,-0.9443711984659251,0.5919117914756298,5,2,0.049390122294425964,0.959922602972177,0.5962791772930777
0060eb99591ac96fb7411e6d,pos_4gram,NOUN>ADJ>NOUN>ADJ,0.6059513119370317,1.0,0.6431820479931809,0.017315483537812197,1,4,0.2863427400588989,0.9866415868883264,0.5956375595796279
8931016e8ad6ea2a0c8431ba,pos_4gram,NOUN>NOUN>NOUN>PROPN,-0.6066003231659168,1.0,-0.5774196426098511,0.019954187187890382,3,1,0.20195960998535156,0.959922602972177,0.5947329113265087
4358148ca64d41e49031b854,dependency_treelet,ADJ>nummod>NUM,-0.6342928696713864,1.0,-0.7102542325033276,0.06739627710273512,4,2,0.17416515946388245,0.959922602972177,0.5942430972244591
d82c6c6c2f02a2957f986ab8,dependency_treelet,AUX>nsubj>NOUN,0.6059391591975328,1.0,0.45643227649864704,0.020109385280655683,2,6,0.1787642389535904,0.959922602972177,0.5939942989847358
2ed11e265f795b4404710f90,pos_4gram,AUX>X>NOUN>NOUN,-0.770666255255452,1.0,-0.759344668626505,0.2979353131835928,4,2,0.14637072384357452,0.959922602972177,0.593763223349823
112fa6b3f4c84cf7b489a90f,pos_4gram,PART>ADP>PART>NOUN,-0.6790843480236843,1.0,-0.6741715177741117,0.14632741154280396,3,2,0.21895620226860046,0.959922602972177,0.5923999907755214
485feb7a3ac4270c23c6607a,pos_4gram,X>X>NOUN>ADJ,0.6281794670792483,1.0,0.6450321463890493,0.06225623924900747,1,6,0.13577283918857574,0.959922602972177,0.5913634054278258
e403b22c4509b90ac6c6c847,pos_4gram,VERB>X>PART>X,-0.8468488789261219,1.0,-0.856448697131778,0.43390111356031424,4,1,0.08338332176208496,0.959922602972177,0.5905908510130332
2d3cebbbaef6b3fc3c2a566b,pos_4gram,NOUN>AUX>DET>NOUN,0.8764174758404896,1.0,0.7845410562368813,0.48871372171529004,0,4,0.0869826003909111,0.959922602972177,0.5887078644178042
edf7235497e9028a619b6fd7,pos_3gram,DET>NOUN>CCONJ,0.8762187746737479,1.0,0.8726663164838747,0.4888245479033544,0,4,0.08498300611972809,0.959922602972177,0.588530579985189
80993b997bad5d462de0cf3e,dependency_path,conj>case,0.6282030496492694,1.0,0.8041796891009146,0.0683881225313155,7,10,0.1545690894126892,0.959922602972177,0.5879914203472028
bbd090b70f9ca92ea0969846,pos_3gram,CCONJ>ADJ>NOUN,0.6829652562156305,1.0,0.8160167619941693,0.16273871862139183,5,6,0.13517296314239502,0.959922602972177,0.587376377235801
6ffbc01c31136d980093c18f,pos_3gram,NUM>AUX>VERB,-0.7708124704368932,1.0,-0.8032526342938644,0.31674311837758634,3,1,0.203159362077713,0.959922602972177,0.5853932021202761
3aced2ebd7db78b195e1dced,pos_4gram,ADV>VERB>PRON>PART,0.8714188510868406,1.0,0.7411965078534597,0.49151707684556656,0,4,0.08218356221914291,0.959922602972177,0.5842499992891924
f7d280030ef1eafc05d8d4c2,function_word,而是,0.9598237021339978,1.0,0.9784308328832814,0.6496808828204964,1,6,0.009598080068826675,0.959922602972177,0.5818238618931958
240e5a1d4ccd9bc40ec539a5,pos_4gram,NOUN>ADJ>SCONJ>NOUN,0.8636146883566311,1.0,0.9763311337916256,0.48438268432694453,8,10,0.05778844282031059,0.959922602972177,0.5818005676536271
d2904e03f5bc54cb9a441ae3,function_word,体,0.8685191187495767,1.0,0.9472884322325675,0.49315810918587766,1,6,0.04639071971178055,0.959922602972177,0.5816658754397576
133ee97f75515cb49837aea5,pos_4gram,AUX>DET>NOUN>PART,0.9409688237733267,1.0,0.8321404267730641,0.6186905988147812,0,4,0.090381920337677,0.959922602972177,0.5813148136291839
f3f780933da4a6185c8fdfe7,pos_4gram,AUX>VERB>VERB>X,-0.7567348744377138,1.0,-0.701806137748467,0.3038549531357289,5,3,0.1117776408791542,0.959922602972177,0.5803827125231921
a62d58389848a4f0fcd609f8,pos_4gram,PART>VERB>PART>SCONJ,-0.8761131872182207,1.0,-0.9894806506497285,0.5109248415923354,4,1,0.09138172119855881,0.959922602972177,0.5798522620720838
bcc6ce70852b2ad4d8436ed8,pos_4gram,ADV>NUM>NOUN>NOUN,0.9626182994144309,1.0,0.8688869410201568,0.6657699725738172,0,4,0.08618276566267014,0.959922602972177,0.5778818896147279
fc082ca78c83515d80be9d04,pos_4gram,ADV>AUX>NOUN>VERB,0.585947638343889,1.0,0.6607487386421831,0.017906617042124654,1,4,0.24135172367095947,0.9866415868883264,0.5756398755384456
cf06e1fa1c792fd16b577e22,pos_3gram,NUM>VERB>X,0.861379191891397,1.0,0.8383720663447622,0.4972458708386449,0,4,0.08958208560943604,0.959922602972177,0.5753091116617453
