feature,family,hedges_g,cliffs_delta,loo_stability,translation_removed_g,source_to_time_abs_g_ratio,permutation_p_value,q_value,ranking_score
surface_adjacent_sentence_length_change,repetition_and_regularity,0.14800433181042205,0.06,0.85,0.18269832024614313,3.1496477093346105,0.7300134897232056,0.9819928926365976,0.030316713815455715
deprel_aux_ratio,dependency_relation,-0.15978176915419567,-0.18,0.95,-0.2396957191014094,4.044583211721515,0.7167641520500183,0.9819928926365976,0.03009023229982266
syntax_treelet_entropy_bits,dependency_syntax,-0.18366178490488583,-0.18,1.0,-0.31162532689819117,5.209913953662381,0.668716549873352,0.9738590532136195,0.029575576453288663
surface_repeated_char_ngram_ratio,repetition_and_regularity,-0.1430464728236378,-0.18,0.9,-0.13194877793779736,4.419647430377286,0.7437127828598022,0.9819928926365976,0.02375464957732716
syntax_crossing_arc_ratio_mean,dependency_syntax,0.11175198279681739,0.2,0.85,0.158622039316454,3.442996934739658,0.7990100383758545,0.9819928926365976,0.021379529802187623
discourse_directive_markers_per_10k_cjk,discourse_and_stance,-0.13268931393632882,-0.12,0.95,-0.13314342652807123,5.379332442177676,0.7553122043609619,0.9819928926365976,0.01975988073706373
syntax_pos_bigram_entropy_bits,dependency_syntax,-0.1263705684660858,-0.06,0.9,-0.3168015285841134,5.083223936695283,0.7690115571022034,0.9819928926365976,0.01869625593320884
upos_sconj_ratio,universal_pos,-0.092485313876664,-0.18,0.85,-0.34465736390181906,3.4835005006863082,0.8345082402229309,0.9819928926365976,0.01753373659334506
deprel_advcl_ratio,dependency_relation,0.10417280173226967,-0.06,0.85,0.09091431847871562,4.313088712431118,0.8137093186378479,0.9819928926365976,0.016665801432085008
syntax_coordinate_relation_ratio,dependency_syntax,0.088313188409234,-0.02,0.9,0.21374405938069377,4.293781636940215,0.8467576503753662,0.9819928926365976,0.015014194959173043
syntax_sentence_length_cv,dependency_syntax,0.10262262922391516,-0.16,0.85,0.17174146390701567,5.756308538495449,0.8227588534355164,0.9819928926365976,0.012910783209991297
discourse_marker_type_coverage,discourse_and_stance,-0.1025095132137115,-0.12,0.9,-0.37297781013168363,6.327072556384741,0.8565071821212769,0.9819928926365976,0.012591462849913656
deprel_obj_ratio,dependency_relation,0.11854017671379487,0.04,0.85,0.10522507570402553,8.523929709243463,0.7860106825828552,0.9819928926365976,0.010579577263042345
syntax_mean_tree_depth,dependency_syntax,0.03628929528846072,0.04,0.65,0.15730125579808404,4.263979906200516,0.9332533478736877,1.0,0.004481028111394342
deprel_cc_ratio,dependency_relation,-0.08630101764077858,-0.24,0.8,0.021619676529743906,3.2977210632270832,0.8576071262359619,0.9819928926365976,0.0
deprel_dep_ratio,dependency_relation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
deprel_expl_ratio,dependency_relation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
deprel_fixed_ratio,dependency_relation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
deprel_goeswith_ratio,dependency_relation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
deprel_list_ratio,dependency_relation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
deprel_orphan_ratio,dependency_relation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
deprel_reparandum_ratio,dependency_relation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
