feature,family,pre_huber_location,post_huber_location,robust_effect_post_minus_pre,unweighted_hedges_g,direction_matches_unweighted,translation_removed_robust_effect,translation_removed_direction_consistent,pre_effective_n,post_effective_n,minimum_effective_fraction,loo_direction_stability,permutation_p_value,q_value,ranking_score
title_exclamation_present,title_form,0.02088833333163447,0.24170785711798115,0.7879477634172232,0.46919803523734116,True,0.45598401527159704,True,9.349808518456122,9.84076822018661,0.9349808518456122,1.0,0.5798840231953609,0.88487162380608,0.7367160710496802
hypothesis_referential_sentence_opening_ratio,rhetorical_hypothesis,0.09102477561465572,0.1307783567340144,0.7562036812977304,0.6176980968898387,True,0.5603324488936358,True,9.994410326895606,9.664223131599616,0.9664223131599616,1.0,0.15176964607078583,0.6078144371125774,0.730812110899831
discourse_booster_markers_per_10k_cjk,discourse_and_stance,3.054633720560513,1.0200726509994567,-0.9050079010473314,-0.3123186031018702,True,-0.43371706286957207,True,9.691330455330158,7.9990241894627445,0.7999024189462745,1.0,0.10377924415116976,0.5734478104379124,0.723918009213251
title_colon_present,title_form,0.09399749999541429,0.4,0.7720935687546283,0.4063374179212837,True,0.8113761010213643,True,9.343800647798382,10.0,0.9343800647798381,1.0,0.6344731053789242,0.8947234553089383,0.7214288387890461
syntax_lexical_token_entropy_bits,token_and_lexical,8.148972430123559,8.549218983991214,0.7249923934847786,0.7639411631595773,True,0.5944486441003647,True,9.9201409647515,10.0,0.99201409647515,1.0,0.16696660667866425,0.6078144371125774,0.7192026741741591
upos_propn_ratio,universal_pos,0.01755098843328088,0.007778182688573523,-0.7198948148617043,-0.7629983668700071,True,-0.7120618135484845,True,10.0,9.828629957797878,0.9828629957797878,1.0,0.21995600879824034,0.6438712257548491,0.7075579743813103
surface_semicolon_density,punctuation,0.001619708110268272,0.0008689877409229198,-0.7647549786033015,-0.5253854963628932,True,-0.5276720677982102,True,9.385169347564263,9.235556005903918,0.9235556005903918,1.0,0.28394321135772843,0.7373364036870044,0.7062937435684644
upos_adp_ratio,universal_pos,0.048282822707519574,0.04135489950405196,-0.7434047125067984,-0.3235350172009743,True,-0.523728074955102,True,9.9230070717625,9.494084566755088,0.9494084566755088,1.0,0.16416716656668667,0.6078144371125774,0.7057947207863797
surface_cjk_char_count,character_composition,2271.6,3771.7644374900747,0.7222657530917563,0.7108062892106554,True,0.5130769702654645,True,10.0,9.62398117741818,0.962398117741818,1.0,0.15876824635072986,0.6078144371125774,0.695107201284883
hypothesis_abstract_shells_per_1k_cjk,rhetorical_hypothesis,5.941932734964644,8.936182341069966,0.7128286975245764,0.7479657905085852,True,0.750976470710443,True,9.995842510638823,9.674596895270739,0.9674596895270738,1.0,0.1887622475504899,0.6078144371125774,0.6896330303931152
